Timestamp,Frequency,Colour,Senses,Controlling,World,Remenber
2023/11/15 5:30:39 pm GMT,Frequently,Plain,Hearing;Sense of touch,Frequently can,half half,Occasionally can
2023/11/16 12:06:01 pm GMT,Occasionally,Colorful,Hearing,Occasionally can,half half,Occasionally can
2023/11/16 12:09:39 pm GMT,Frequently,Colorful,Hearing;Sense of touch,Occasionally can,half half,Frequently can
2023/11/16 12:10:49 pm GMT,Frequently,Colorful,i keep getting tickled by strangers,Occasionally can,surreal world,Occasionally can
2023/11/16 12:11:33 pm GMT,Occasionally,Dim and fuzzy,Hearing;Taste;Sense of touch,Occasionally can,half half,Occasionally can
2023/11/16 12:14:10 pm GMT,Frequently,Colorful,Sense of touch,Occasionally can,real world,Frequently can
2023/11/16 12:22:14 pm GMT,Occasionally,Colorful,Hearing;Sense of touch,Frequently can,real world,Occasionally can
2023/11/16 12:29:10 pm GMT,Occasionally,Colorful,Hearing,Occasionally can,half half,Barely can't
2023/11/16 12:36:28 pm GMT,Occasionally,Colorful,Hearing;Taste;Sense of touch,Occasionally can,half half,Occasionally can
2023/11/16 1:21:59 pm GMT,Frequently,Colorful,Hearing;Taste;Sense of touch,Occasionally can,half half,Occasionally can
2023/11/16 1:33:51 pm GMT,Frequently,Colorful,Hearing;Sense of touch,Occasionally can,half half,Frequently can
2023/11/16 1:39:03 pm GMT,Occasionally,Colorful,Hearing;Sense of touch,Almost can't,half half,Occasionally can
2023/11/16 1:49:08 pm GMT,Occasionally,Colorful,Hearing;Sense of touch,Occasionally can,half half,Occasionally can
2023/11/16 2:45:36 pm GMT,Barely not,Dim and fuzzy,Hearing;Sense of touch,Occasionally can,half half,Barely can't
2023/11/16 5:10:00 pm GMT,Frequently,Plain,Hearing;Sense of touch,Frequently can,half half,Occasionally can
